cp,asentamiento,municipio
90168,El Bosque,Totolac
90180,Antorcha Campesina,Tepeyanco
90180,San Cosme Atlamaxac,Tepeyanco
90180,Tepeyanco Centro,Tepeyanco
90180,Santiago Tlacochcalco,Tepeyanco
90180,San Pedro Xalcaltzinco,Tepeyanco
90180,Guerrero,Tepeyanco
90180,Las Águilas,Tepeyanco
90180,Gerardo Franco,Tepeyanco
90182,La Aurora,Tepeyanco
90193,Villas de Santa Isabel,Santa Isabel Xiloxoxtla
90193,Contla,Santa Isabel Xiloxoxtla
90193,Teotitla,Santa Isabel Xiloxoxtla
90193,Chimalpa,Santa Isabel Xiloxoxtla
90193,Quiahuixtla Norte,Santa Isabel Xiloxoxtla
90193,INFONAVIT 5 de Mayo,Santa Isabel Xiloxoxtla
90194,Parque Industrial Xiloxoxtla,Santa Isabel Xiloxoxtla
90194,Quiahuixtla Sur,Santa Isabel Xiloxoxtla
90194,Culhuaca,Santa Isabel Xiloxoxtla
90194,Independencia,Santa Isabel Xiloxoxtla
90195,San Juan Huactzinco,San Juan Huactzinco
90200,Calpulalpan Centro,Calpulalpan
90202,Xahuanxolco,Calpulalpan
90202,San Rafael,Calpulalpan
90202,La Cañada,Calpulalpan
90203,El Palmar,Calpulalpan
90203,San Pedro,Calpulalpan
90203,La Rosa,Calpulalpan
90203,Calpulli,Calpulalpan
90203,INFONAVIT,Calpulalpan
90203,Coesillos,Calpulalpan
90203,Loma Bonita,Calpulalpan
90203,Trabajadores Federados,Calpulalpan
90203,Europa,Calpulalpan
90203,Argos,Calpulalpan
90203,San Miguel,Calpulalpan
90203,Las Dalias,Calpulalpan
90204,Villas del Sur,Calpulalpan
90204,El Mirador (Las Conchitas),Calpulalpan
90204,La Nopalera,Calpulalpan
90204,Esmeralda,Calpulalpan
90205,La Herradura (El Calvario),Calpulalpan
90205,Arboledas,Calpulalpan
90205,Los Volcanes,Calpulalpan
90205,Pocitos,Calpulalpan
90205,San Antonio Calpulalpan,Calpulalpan
90205,San Isidro,Calpulalpan
90207,Los Ángeles,Calpulalpan
90207,Santa Cecilia,Calpulalpan
90207,Francisco Sarabia,Calpulalpan
90207,Salvador Guarneros,Calpulalpan
90207,San Bartolomé del Monte,Calpulalpan
90208,El Refugio,Calpulalpan
90208,Alfonso Espejel,Calpulalpan
90208,Belén,Calpulalpan
90208,Nazaret,Calpulalpan
90208,Independencia,Calpulalpan
90208,Los Pinos,Calpulalpan
90210,San Mateo Aticpac,Calpulalpan
90210,Amantla,Calpulalpan
90210,San Benigno,Calpulalpan
90210,Los Tres Hermanos,Calpulalpan
90213,Las Palomas,Calpulalpan
90218,San Vicente,Calpulalpan
90218,Marcelino Cruz,Calpulalpan
90218,Las Auras,Calpulalpan
90218,El Piñón,Calpulalpan
90220,La Soledad,Calpulalpan
90220,Mazapa,Calpulalpan
90220,Santa Cruz,Calpulalpan
90220,Santa Teresa,Calpulalpan
90220,La Palma,Calpulalpan
90220,Santa Isabel Mixtitlán,Calpulalpan
90220,San Francisco,Calpulalpan
90220,La Ocotera,Calpulalpan
90220,Jacarandas,Calpulalpan
90220,Del Venado,Calpulalpan
90220,El Cacalote,Calpulalpan
90220,Monte de San Agustín,Calpulalpan
90220,Hermanos García,Calpulalpan
90220,Loma de San Agustín,Calpulalpan
90220,Pacheco (De la Rosa),Calpulalpan
90220,Analco Dos,Calpulalpan
90220,Ángel Pelcastre,Calpulalpan
90222,San Felipe Sultepec,Calpulalpan
90222,Los Compadres,Calpulalpan
90222,La Quebradora,Calpulalpan
90222,Los Mogotes,Calpulalpan
90224,San Marcos Guaquilpan,Calpulalpan
90224,Santiago Cuaula,Calpulalpan
90224,San Cristóbal Zacacalco,Calpulalpan
90224,La Venta,Calpulalpan
90224,El Rosario,Calpulalpan
90224,Barranca del Tizar,Calpulalpan
90224,Puente del Ocomique,Calpulalpan
90225,San Rodrigo,Calpulalpan
90225,Los Capulines,Calpulalpan
90225,Los Palacios,Calpulalpan
90225,Los Pinos,Calpulalpan
90225,La Blanca,Calpulalpan
90225,San José (Los Hornos),Calpulalpan
90226,Finca Guadalupe Velázquez,Calpulalpan
90226,San Juan Temazcales,Calpulalpan
90226,San José,Calpulalpan
90226,El Carmen,Calpulalpan
90226,Zoquiapan,Calpulalpan
90226,Gustavo Díaz Ordaz,Calpulalpan
90226,Tlazalán,Calpulalpan
90226,San Isidro,Calpulalpan
90226,El Padrino,Calpulalpan
90226,El Triángulo,Calpulalpan
90230,Sanctórum,Sanctórum de Lázaro Cárdenas
90231,Francisco Villa,Sanctórum de Lázaro Cárdenas
90231,San Nicolás el Grande,Sanctórum de Lázaro Cárdenas
90231,Juan Antonio,Sanctórum de Lázaro Cárdenas
90231,San Nicolás (Farfán),Sanctórum de Lázaro Cárdenas
90233,Pachuquilla,Sanctórum de Lázaro Cárdenas
90234,Estación Contadero,Sanctórum de Lázaro Cárdenas
90234,Doña Evelia (Los Alpinos),Sanctórum de Lázaro Cárdenas
90234,Esquibajas,Sanctórum de Lázaro Cárdenas
90234,La Garita,Sanctórum de Lázaro Cárdenas
90234,La Presa de Pozuelos,Sanctórum de Lázaro Cárdenas
90234,La Providencia,Sanctórum de Lázaro Cárdenas
90234,Las Palomas,Sanctórum de Lázaro Cárdenas
90234,Los Alpinos,Sanctórum de Lázaro Cárdenas
90234,San Leonardo Arroyo,Sanctórum de Lázaro Cárdenas
90234,Santa Cruz,Sanctórum de Lázaro Cárdenas
90235,NCP Álvaro Obregón,Benito Juárez
90235,Benito Juárez,Benito Juárez
90235,Ampliación Progreso,Benito Juárez
90240,San Ildefonso Hueyotlipan,Hueyotlipan
90240,Los Hornitos,Hueyotlipan
90240,La Cañada,Hueyotlipan
90240,El Jardín,Hueyotlipan
90240,El Resumidero,Hueyotlipan
90240,La Ardilla,Hueyotlipan
90240,Los Caifanes (La Purísima),Hueyotlipan
90240,Playa Azul,Hueyotlipan
90241,San Simeon Xipetzinco,Hueyotlipan
90243,San Andrés Cuaximala,Hueyotlipan
90243,El Carmen (Las Carrozas),Hueyotlipan
90243,Agua Limpia,Hueyotlipan
90244,Santa María Ixcontla,Hueyotlipan
90244,Santiago Tlalpan,Hueyotlipan
90244,Las Tórtolas,Hueyotlipan
90244,Potrero Grande,Hueyotlipan
90244,San Manuel Tlalpan,Hueyotlipan
90245,San Diego Recoba,Hueyotlipan
90246,Ignacio Zaragoza,Hueyotlipan
90246,Adolfo López Mateos,Hueyotlipan
90246,Emilio Sánchez Piedras,Hueyotlipan
90246,Hacienda San Blas Cuaxomulco,Hueyotlipan
90247,La Cruz Techalote,Hueyotlipan
90247,San Lorenzo Techalote,Hueyotlipan
90247,Hacienda San Fernando,Hueyotlipan
90247,Loma Bonita,Hueyotlipan
90247,NCP San Antonio Techalote,Hueyotlipan
90247,El Pilar,Hueyotlipan
90247,La Purísima,Hueyotlipan
90247,Santo Tomás (El Nopal),Hueyotlipan
90247,San Antonio Techalote,Hueyotlipan
90247,San Fernando,Hueyotlipan
90247,Santa Lucía,Hueyotlipan
90250,San José Atotonilco,Tlaxco
90250,José María Morelos Buenavista,Tlaxco
90250,Tlaxco,Tlaxco
90250,Tepatlaxco,Tlaxco
90250,San Juan,Tlaxco
90250,Ejidal,Tlaxco
90250,Iturbide,Tlaxco
90250,Postal,Tlaxco
90250,Las Ánimas,Tlaxco
90250,Xomitla,Tlaxco
90250,Las Maravillas,Tlaxco
90250,La Mesa del Cielo,Tlaxco
90250,Juan Arroyo (San Isidro),Tlaxco
90250,La Vega,Tlaxco
90250,Tablon de Guadalupe Payuca,Tlaxco
90250,Los Serranos,Tlaxco
90250,El Calvario,Tlaxco
90251,San Antonio Huexotitla,Tlaxco
90251,Guadalupe Huexotitla,Tlaxco
90251,Xochuca,Tlaxco
90251,NCPE la Herradura,Tlaxco
90253,Vista Hermosa,Tlaxco
90255,Acopinalco del Peñón,Tlaxco
90255,Grande,Tlaxco
90255,Chico,Tlaxco
90255,El Sabinal,Tlaxco
90255,Santiago Tlatepoxco,Tlaxco
90255,El Nacimiento,Tlaxco
90255,La Candelaria,Tlaxco
90256,El Rosario,Tlaxco
90257,San Pedro la Cueva,Tlaxco
90257,La Pedregosa,Tlaxco
90257,El Tintero,Tlaxco
90257,El Limón,Tlaxco
90257,El Mirador,Tlaxco
90257,El Paraje,Tlaxco
90257,Clemente Muñoz,Tlaxco
90257,El Sotol,Tlaxco
90257,San José el Escombro,Tlaxco
90257,El Catorce,Tlaxco
90257,Diego Muñoz Camargo,Tlaxco
90257,Piedra Blanca,Tlaxco
90257,La Herradura,Tlaxco
90258,Río Blanco (El Doce),Tlaxco
90258,La Cieneguilla,Tlaxco
90258,Al final de la Senda,Tlaxco
90258,Juan Antonio Burle Lomelí,Tlaxco
90258,La Paz,Tlaxco
90258,Llanos de Teopa (Valle Escondido),Tlaxco
90258,Kilómetro 31,Tlaxco
90259,Nuevo,Tlaxco
90259,Corralillos,Tlaxco
90259,Los Panchos,Tlaxco
90260,La Magdalena Soltepec,Tlaxco
90260,Lagunilla,Tlaxco
90260,Soltepec,Tlaxco
90261,Las Vigas,Tlaxco
90261,Profesor Graciano Sánchez,Tlaxco
90261,El Desierto,Tlaxco
90261,Cinegético Cruz Verde,Tlaxco
90262,Mariano Matamoros,Tlaxco
90262,Mazaquiáhuac,Tlaxco
90263,Casa Blanca,Tlaxco
90264,Ex-Hacienda San Miguel Mimiahuapan,Tlaxco
90264,Unión Ejidal Tierra y Libertad,Tlaxco
90264,Maguey Cenizo,Tlaxco
90264,La Trasquila,Tlaxco
90265,San Lorenzo Soltepec,Tlaxco
90265,El Perpetuo Socorro,Tlaxco
90265,San Agustín,Tlaxco
90265,El Pato,Tlaxco
90265,El Santísimo,Tlaxco
90265,Ex-hacienda San Buenaventura,Tlaxco
90265,Santa María,Tlaxco
90265,Santa Inés,Tlaxco
90265,Santa Cruz,Tlaxco
90266,La Providencia,Tlaxco
90266,San Francisco Quintanilla,Tlaxco
90266,Alta Luz,Tlaxco
90266,San Diego Quintanilla,Tlaxco
90266,El Fresno,Tlaxco
90267,San José Tepeyahualco,Tlaxco
90270,Tecomalucan,Tlaxco
90270,El Paraíso,Tlaxco
90270,Conzoquio,Tlaxco
90271,Máximo Rojas Xalóstoc,Tlaxco
90273,El Convento,Tlaxco
90273,Ex-hacienda San Pedro Metla,Tlaxco
90273,Santa Rosa de Lima,Tlaxco
90273,El Chupadero,Tlaxco
90274,La Palma,Tlaxco
90274,Las Arandelas,Tlaxco
90274,El Mirador,Tlaxco
90274,La Lobera,Tlaxco
90274,La Rosa,Tlaxco
90274,Los Capulines,Tlaxco
90274,Loma de Enmedio,Tlaxco
90274,Tetzitzilica,Tlaxco
90274,Los Charcos,Tlaxco
90274,La Ciénega,Tlaxco
90274,Las Palomas,Tlaxco
90275,Capilla de Tepeyahualco,Tlaxco
90275,Rancho Ojo de Agua,Tlaxco
90275,Las Mesas,Tlaxco
90276,El Potrero,Tlaxco
90276,El Potrero Mazayolo,Tlaxco
90276,El Llano,Tlaxco
90276,La Loma del Cortijo,Tlaxco
90276,Metla (Los Pinos),Tlaxco
90276,Toltecapa,Tlaxco
90276,Tlaquexpa,Tlaxco
90276,La Pera,Tlaxco
90277,Ciudad Industrial Xicohténcatl III,Tlaxco
90277,Comisión Federal de Electricidad-La Martinica,Tlaxco
90277,La Tronconera,Tlaxco
90277,El Grullo,Tlaxco
90277,El Volador,Tlaxco
90277,Santa Fe,Tlaxco
90277,San Pablo el Mirador,Tlaxco
90277,Tierra Nueva,Tlaxco
90277,El Jardín,Tlaxco
90277,El Tecorral,Tlaxco
90277,Las Tórtolas,Tlaxco
90277,San Baltazar,Tlaxco
90277,El Mirador (Teresa Rivera),Tlaxco
90277,La Loma del Jardín,Tlaxco
90278,Titichilco,Tlaxco
90278,San Antonio Chapultepec,Tlaxco
90278,Dos Barrancas,Tlaxco
90278,San Martín,Tlaxco
90278,Agua Escondida,Tlaxco
90278,Los Polos,Tlaxco
90278,Seco el Viejo,Tlaxco
90278,Los Laureles,Tlaxco
90278,Santa María Zotoluca,Tlaxco
90278,San José Atotonilco,Tlaxco
90278,Seco,Tlaxco
90278,Santa Cruz Rancho Seco,Tlaxco
90278,Campo David,Tlaxco
90280,Niños Héroes de Chapultepec,Nanacamilpa de Mariano Arista
90280,Mifive,Nanacamilpa de Mariano Arista
90280,Los Rosales,Nanacamilpa de Mariano Arista
90280,La Unión,Nanacamilpa de Mariano Arista
90280,Media Caballería,Nanacamilpa de Mariano Arista
90280,El Carmen,Nanacamilpa de Mariano Arista
90280,Agua Escondida,Nanacamilpa de Mariano Arista
90280,Antorchista San Cayetano,Nanacamilpa de Mariano Arista
90280,Domingo Arenas,Nanacamilpa de Mariano Arista
90280,Chapultepec,Nanacamilpa de Mariano Arista
90280,Francisco Villa,Nanacamilpa de Mariano Arista
90280,Obregón,Nanacamilpa de Mariano Arista
90280,INFONAVIT Mineros,Nanacamilpa de Mariano Arista
90280,Loma Bonita,Nanacamilpa de Mariano Arista
90280,Loreto,Nanacamilpa de Mariano Arista
90280,La Villa,Nanacamilpa de Mariano Arista
90283,Amaxac,Nanacamilpa de Mariano Arista
90283,La Candelaria,Nanacamilpa de Mariano Arista
90283,Los Delgadillo,Nanacamilpa de Mariano Arista
90283,José Eduardo Hernández Fernández,Nanacamilpa de Mariano Arista
90284,Ixtafiayuca,Nanacamilpa de Mariano Arista
90284,Domingo Arenas (La Calera),Nanacamilpa de Mariano Arista
90284,Francisco I. Madero,Nanacamilpa de Mariano Arista
90284,Entronque Nanacamilpa,Nanacamilpa de Mariano Arista
90286,Constantino Zavala,Nanacamilpa de Mariano Arista
90286,Manuel Estrada,Nanacamilpa de Mariano Arista
90286,Tepuente,Nanacamilpa de Mariano Arista
90288,San Isidro,Nanacamilpa de Mariano Arista
90288,Miguel Lira y Ortega,Nanacamilpa de Mariano Arista
90288,San Felipe Hidalgo,Nanacamilpa de Mariano Arista
90290,Españita,Españita
90290,El Carmen,Españita
90290,San Miguel,Españita
90291,San Juan Mitepec,Españita
90292,San Francisco Mitepec,Españita
90292,San Miguel Pipiyola,Españita
90292,San Pablo,Españita
90293,Álvaro Obregón,Españita
90293,San Agustín,Españita
90293,La Joya,Españita
90293,Francisco I. Madero el Viejo,Españita
90293,La Concepción,Españita
90293,Pablo García Sánchez (Rancho Tecuicuilco),Españita
90293,Rancho Nuevo,Españita
90293,Lindavista,Españita
90294,Miguel Aldama,Españita
90294,La Soledad,Españita
90294,Las Pilas,Españita
90294,El Relicario,Españita
90294,Guillén,Españita
90294,San Miguel Tepalca,Españita
90295,La Magdalena Cuextotitla,Españita
90295,Barrio de Torres,Españita
90297,Vicente Guerrero,Españita
90297,Lagunitas,Españita
90297,El Ocotal (Roque Sánchez),Españita
90297,El Agua Santa (Las Tinas),Españita
90297,El Calicanto,Españita
90298,La Constancia,Españita
90298,La Reforma,Españita
90298,La Valentina,Españita
90298,Los Capulines,Españita
90298,San Miguel el Piñón,Españita
90298,Asilo de Anciano San Judas Tadeo,Españita
90298,El Potrero,Españita
90298,San José Bellavista,Españita
90298,El Capulín,Españita
90298,San Antonio,Españita
90300,Centro,Apizaco
90319,Rodan,Apizaco
90320,Granjas de Guadalupe,Apizaco
90323,Cerrito de Guadalupe,Apizaco
90329,Fuentes de Actipan,Apizaco
90329,Hogares Ferrocarrileros,Apizaco
90329,Hogares Ferrocarrileros 3,Apizaco
90329,Atenco,Apizaco
90330,Guadalupe,Apizaco
90337,San Martín de Porres,Apizaco
90338,Bellavista,Apizaco
90338,El Carmen,Apizaco
90338,San Diego Crom,Apizaco
90339,San Miguel,Apizaco
90340,Santa Rosa,Apizaco
90341,20 de Noviembre,Apizaco
90342,Ferrocarrilera,Apizaco
90342,Adolfo López Mateos,Apizaco
90342,Emilio Sánchez Piedras,Apizaco
90347,La Ciénega,Apizaco
90350,Buenos Aires,Apizaco
90350,INFONAVIT CTM,Apizaco
90350,INFONAVIT San Rafael Atlixtac,Apizaco
90355,Villa Santa Clara,Apizaco
90355,Villas del Monte,Apizaco
90355,Parque Ingles Residencial,Apizaco
90355,Villas de Apizaco,Apizaco
90355,Villa Santa Anita,Apizaco
90355,Loma Paraíso,Apizaco
90355,FOVISSSTE Loma Verde,Apizaco
90355,INFONAVIT Loma Verde,Apizaco
90355,Real del Bosque,Apizaco
90355,Real del Valle,Apizaco
90355,Paso de Cortés I,Apizaco
90355,Paso de Cortés II,Apizaco
90355,La Perla,Apizaco
90355,La Perla II,Apizaco
90355,Apatlahuaya,Apizaco
90355,San Diego,Apizaco
90356,Loma Florida 1a Secc,Apizaco
90356,Loma Florida 2a Secc,Apizaco
90356,Los Sauces,Apizaco
90356,Nuevo México,Apizaco
90357,Benito Juárez,Apizaco
90357,Fátima,Apizaco
90357,Lindavista,Apizaco
90358,Jesús y San Juan,Apizaco
90360,Bryc,Apizaco
90360,La Cañada,Apizaco
90360,Los Morales II,Apizaco
90370,INDECO San Rafael Atlixtac,Apizaco
90370,Zaragoza,Apizaco
90370,Campestre los Sabinos,Apizaco
90378,Loma Santa Anita,Apizaco
90380,Agrícola Covadonga,Apizaco
90380,Jardines de Apizaco,Apizaco
90380,La Soledad,Apizaco
90380,El Llano,Apizaco
90401,Villas el Pilar,Apizaco
90401,La Presa,Apizaco
90401,Benito Juárez Apizaquito,Apizaco
90401,El Calvario,Apizaco
90401,San Luis Apizaquito,Apizaco
90401,Tulio Hernández,Apizaco
90401,CERESO Apizaco,Apizaco
90401,Coporo y Cerro Azul,Apizaco
90401,San Luis,Apizaco
90401,La Paz,Apizaco
90401,El Farallon,Apizaco
90401,Residencial Las Flores,Apizaco
90401,La Colina,Apizaco
90401,Lomas de Apizaquito,Apizaco
90402,Santa Maria Texcalac,Apizaco
90402,10 de Mayo,Apizaco
90402,Francisco I. Madero,Apizaco
90402,El Cerrito,Apizaco
90403,Guadalupe Texcalac,Apizaco
90405,Cuarta Manzana,Apizaco
90405,Actipan,Apizaco
90405,Jardines de San Francisco,Apizaco
90405,José María Morelos,Apizaco
90406,San Isidro,Apizaco
90406,Lomas del Bosque,Apizaco
90406,Lomas del Bosque II,Apizaco
90406,Jardines de San Isidro,Apizaco
90407,Santa Anita Huiloac,Apizaco
90407,San Marcos,Apizaco
90407,Atlayoalco,Apizaco
90410,Atlangatepec,Atlangatepec
90410,Segunda Fracción de Olivares,Atlangatepec
90410,Tepezilapan,Atlangatepec
90410,Tercera Fracción de Olivares,Atlangatepec
90410,Cuarta Fracción de Olivares,Atlangatepec
90410,El Paraíso,Atlangatepec
90410,La Troje,Atlangatepec
90411,Agrícola San Luis,Atlangatepec
90411,Santa Clara Ozumba,Atlangatepec
90411,San Simón,Atlangatepec
90411,Cerro de las Flores,Atlangatepec
90411,El Catorce,Atlangatepec
90411,La Loma (El Cerrito),Atlangatepec
90411,La Palma,Atlangatepec
90411,La Providencia,Atlangatepec
90413,Zumpango,Atlangatepec
90413,La Flor,Atlangatepec
90413,San Felipe,Atlangatepec
90413,San José Atlanga,Atlangatepec
90413,La Cuchilla (El Alcanfor),Atlangatepec
90414,Las Barrancas,Atlangatepec
90414,Las Tinajas,Atlangatepec
90414,Los Capulines,Atlangatepec
90414,Los Encinos,Atlangatepec
90414,Santiago Villalta,Atlangatepec
90414,El Huérfano,Atlangatepec
90414,El Ocote,Atlangatepec
